id,level,exp_to_next,cum_exp,stat_gain_pct,note
1,1,0,0,14.0,mult=1.000
2,2,285,285,14.0,mult=1.140
3,3,203,488,14.0,mult=1.300
4,4,157,645,14.0,mult=1.482
5,5,128,773,14.0,mult=1.689
6,6,109,882,14.0,mult=1.925
7,7,94,976,14.0,mult=2.195
8,8,83,1059,14.0,mult=2.502
9,9,74,1133,14.0,mult=2.853
10,10,67,1200,14.0,mult=3.252
11,11,242,1442,14.0,mult=3.707
12,12,223,1665,14.0,mult=4.226
13,13,206,1871,14.0,mult=4.818
14,14,192,2063,14.0,mult=5.492
15,15,180,2243,14.0,mult=6.261
16,16,169,2412,14.0,mult=7.138
17,17,159,2571,14.0,mult=8.137
18,18,151,2721,14.0,mult=9.276
19,19,143,2864,14.0,mult=10.575
20,20,136,3000,14.0,mult=12.056
21,21,662,3662,14.0,mult=13.743
22,22,632,4294,14.0,mult=15.668
23,23,605,4899,14.0,mult=17.861
24,24,580,5479,14.0,mult=20.362
25,25,558,6037,14.0,mult=23.212
26,26,153,6190,10.5,mult=25.649
27,27,148,6338,10.5,mult=28.343
28,28,142,6480,10.5,mult=31.319
29,29,137,6617,10.5,mult=34.607
30,30,133,6750,10.5,mult=38.241
31,31,940,7690,10.5,mult=42.256
32,32,910,8601,10.5,mult=46.693
33,33,882,9483,10.5,mult=51.596
34,34,856,10339,10.5,mult=57.013
35,35,831,11171,10.5,mult=63.000
36,36,808,11979,10.5,mult=69.615
37,37,786,12764,10.5,mult=76.924
38,38,765,13529,10.5,mult=85.001
39,39,745,14274,10.5,mult=93.927
40,40,0,15000,10.5,mult=103.789
