id,name,type,unlock_level,target_type,target_count,reward_exp,reward_gold,note
30001,主线·第1章,main,1,clear_stage,1,559,447,generated
30002,主线·第2章,main,2,upgrade_hero,2,559,447,generated
30003,主线·第3章,main,4,win_battle,3,559,447,generated
30004,主线·第4章,main,6,collect_item,1,559,447,generated
30005,主线·第5章,main,8,gacha_once,2,559,447,generated
30006,主线·第6章,main,10,clear_stage,3,559,447,generated
30007,主线·第7章,main,11,upgrade_hero,1,559,447,generated
30008,主线·第8章,main,13,win_battle,2,559,447,generated
30009,主线·第9章,main,15,collect_item,3,559,447,generated
30010,主线·第10章,main,17,gacha_once,1,559,447,generated
30011,主线·第11章,main,19,clear_stage,2,559,447,generated
30012,主线·第12章,main,21,upgrade_hero,3,559,447,generated
30013,主线·第13章,main,22,win_battle,1,559,447,generated
30014,主线·第14章,main,24,collect_item,2,559,447,generated
30015,主线·第15章,main,26,gacha_once,3,559,447,generated
30016,主线·第16章,main,28,clear_stage,1,559,447,generated
30017,主线·第17章,main,30,upgrade_hero,2,559,447,generated
30018,主线·第18章,main,31,win_battle,3,559,447,generated
30019,主线·第19章,main,33,collect_item,1,559,447,generated
30020,主线·第20章,main,35,gacha_once,2,559,447,generated
30021,主线·第21章,main,37,clear_stage,3,559,447,generated
30022,主线·第22章,main,39,upgrade_hero,1,559,447,generated
31001,每日·活跃1,daily,1,login,1,350,175,generated
31002,每日·活跃2,daily,1,win_battle,2,350,175,generated
31003,每日·活跃3,daily,1,clear_stage,3,350,175,generated
31004,每日·活跃4,daily,1,consume_stamina,4,350,175,generated
32001,支线·探索1,side,1,explore,1,386,231,generated
32002,支线·探索2,side,3,explore,1,386,231,generated
32003,支线·探索3,side,5,explore,1,386,231,generated
32004,支线·探索4,side,7,explore,1,386,231,generated
32005,支线·探索5,side,9,explore,1,386,231,generated
32006,支线·探索6,side,11,explore,1,386,231,generated
32007,支线·探索7,side,13,explore,1,386,231,generated
