id,level,exp_to_next,cum_exp,stat_gain_pct,note
1,1,0,0,10.0,mult=1.000
2,2,399,399,10.0,mult=1.100
3,3,283,681,10.0,mult=1.210
4,4,219,901,10.0,mult=1.331
5,5,179,1080,10.0,mult=1.464
6,6,412,1492,10.0,mult=1.611
7,7,357,1849,10.0,mult=1.772
8,8,315,2164,10.0,mult=1.949
9,9,282,2445,10.0,mult=2.144
10,10,255,2700,10.0,mult=2.358
11,11,1105,3805,10.0,mult=2.594
12,12,1016,4821,10.0,mult=2.853
13,13,208,5028,8.0,mult=3.081
14,14,192,5221,8.0,mult=3.328
15,15,179,5400,8.0,mult=3.594
16,16,1211,6611,8.0,mult=3.882
17,17,1138,7749,8.0,mult=4.192
18,18,1073,8822,8.0,mult=4.528
19,19,1015,9837,8.0,mult=4.890
20,20,963,10800,8.0,mult=5.281
21,21,1408,12208,8.0,mult=5.703
22,22,1342,13550,8.0,mult=6.160
23,23,1283,14833,8.0,mult=6.652
24,24,1228,16061,8.0,mult=7.185
25,25,1178,17239,8.0,mult=7.759
26,26,1132,18371,8.0,mult=8.380
27,27,1089,19460,8.0,mult=9.051
28,28,1049,20509,8.0,mult=9.775
29,29,1013,21522,8.0,mult=10.557
30,30,0,22500,8.0,mult=11.401
