id,hero_id,name,type,target,hits,atk_mult_pct,energy_gain,desc
200101,2001,盾卫方阵-普攻,basic,single,1,90,20,对敌方单体造成等同于{Attack}90%的守备伤害
200102,2001,盾卫方阵-战术指令,skill,single,2,120,30,对敌方单体造成2段，每段{Attack}60%的守备伤害
200103,2001,盾卫方阵-统率技,ultimate,aoe,1,200,0,对敌方全体造成{Attack}200%的守备伤害
200201,2002,游侠骑射-普攻,basic,single,1,115,20,对敌方单体造成等同于{Attack}114%的突击伤害
200202,2002,游侠骑射-战术指令,skill,single,2,170,30,对敌方单体造成2段，每段{Attack}85%的突击伤害
200203,2002,游侠骑射-统率技,ultimate,aoe,1,290,0,对敌方全体造成{Attack}290%的突击伤害
200301,2003,火炮连队-普攻,basic,single,1,100,20,对敌方单体造成等同于{Attack}100%的火力伤害
200302,2003,火炮连队-战术指令,skill,single,2,190,30,对敌方单体造成2段，每段{Attack}95%的火力伤害
200303,2003,火炮连队-统率技,ultimate,aoe,1,340,0,对敌方全体造成{Attack}340%的火力伤害
200401,2004,斥候小队-普攻,basic,single,1,100,20,对敌方单体造成等同于{Attack}100%的机动伤害
200402,2004,斥候小队-战术指令,skill,single,2,130,30,对敌方单体造成2段，每段{Attack}65%的机动伤害
200403,2004,斥候小队-统率技,ultimate,aoe,1,180,0,对敌方全体造成{Attack}180%的机动伤害
200501,2005,医师队-普攻,basic,single,1,70,20,对敌方单体造成等同于{Attack}70%的后勤伤害
200502,2005,医师队-战术指令,skill,single,2,90,30,对敌方单体造成2段，每段{Attack}45%的后勤伤害
200503,2005,医师队-统率技,ultimate,aoe,1,120,0,对敌方全体造成{Attack}120%的后勤伤害
200601,2006,联盟精锐-普攻,basic,single,1,95,20,对敌方单体造成等同于{Attack}95%的联盟伤害
200602,2006,联盟精锐-战术指令,skill,single,2,135,30,对敌方单体造成2段，每段{Attack}67%的联盟伤害
200603,2006,联盟精锐-统率技,ultimate,aoe,1,220,0,对敌方全体造成{Attack}220%的联盟伤害
