id,name,type,unlock_level,target_type,target_count,reward_exp,reward_gold,note
30001,主线·第1章,main,1,clear_stage,1,844,675,generated
30002,主线·第2章,main,2,upgrade_hero,2,844,675,generated
30003,主线·第3章,main,4,win_battle,3,844,675,generated
30004,主线·第4章,main,5,collect_item,1,844,675,generated
30005,主线·第5章,main,7,gacha_once,2,844,675,generated
30006,主线·第6章,main,8,clear_stage,3,844,675,generated
30007,主线·第7章,main,10,upgrade_hero,1,844,675,generated
30008,主线·第8章,main,11,win_battle,2,844,675,generated
30009,主线·第9章,main,13,collect_item,3,844,675,generated
30010,主线·第10章,main,14,gacha_once,1,844,675,generated
30011,主线·第11章,main,16,clear_stage,2,844,675,generated
30012,主线·第12章,main,17,upgrade_hero,3,844,675,generated
30013,主线·第13章,main,19,win_battle,1,844,675,generated
30014,主线·第14章,main,20,collect_item,2,844,675,generated
30015,主线·第15章,main,22,gacha_once,3,844,675,generated
30016,主线·第16章,main,23,clear_stage,1,844,675,generated
30017,主线·第17章,main,25,upgrade_hero,2,844,675,generated
30018,主线·第18章,main,26,win_battle,3,844,675,generated
30019,主线·第19章,main,28,collect_item,1,844,675,generated
30020,主线·第20章,main,29,gacha_once,2,844,675,generated
31001,每日·活跃1,daily,1,login,1,180,90,generated
31002,每日·活跃2,daily,1,win_battle,2,180,90,generated
31003,每日·活跃3,daily,1,clear_stage,3,180,90,generated
31004,每日·活跃4,daily,1,consume_stamina,4,180,90,generated
31005,每日·活跃5,daily,1,login,5,180,90,generated
32001,支线·探索1,side,1,explore,1,938,562,generated
32002,支线·探索2,side,3,explore,1,938,562,generated
32003,支线·探索3,side,5,explore,1,938,562,generated
32004,支线·探索4,side,7,explore,1,938,562,generated
32005,支线·探索5,side,9,explore,1,938,562,generated
32006,支线·探索6,side,11,explore,1,938,562,generated
