id,level,exp_to_next,cum_exp,stat_gain_pct,note
1,1,0,0,12.0,mult=1.000
2,2,285,285,12.0,mult=1.120
3,3,203,488,12.0,mult=1.254
4,4,157,645,12.0,mult=1.405
5,5,128,773,12.0,mult=1.574
6,6,109,882,12.0,mult=1.762
7,7,94,976,12.0,mult=1.974
8,8,83,1059,12.0,mult=2.211
9,9,74,1133,12.0,mult=2.476
10,10,67,1200,12.0,mult=2.773
11,11,194,1394,12.0,mult=3.106
12,12,178,1572,12.0,mult=3.479
13,13,165,1737,12.0,mult=3.896
14,14,154,1891,12.0,mult=4.363
15,15,144,2034,12.0,mult=4.887
16,16,135,2169,12.0,mult=5.474
17,17,127,2297,12.0,mult=6.130
18,18,120,2417,12.0,mult=6.866
19,19,114,2531,12.0,mult=7.690
20,20,109,2640,12.0,mult=8.613
21,21,260,2900,9.0,mult=9.388
22,22,248,3148,9.0,mult=10.233
23,23,237,3385,9.0,mult=11.154
24,24,227,3611,9.0,mult=12.158
25,25,217,3829,9.0,mult=13.252
26,26,209,4038,9.0,mult=14.444
27,27,201,4239,9.0,mult=15.744
28,28,194,4432,9.0,mult=17.161
29,29,187,4619,9.0,mult=18.706
30,30,181,4800,9.0,mult=20.390
31,31,547,5347,9.0,mult=22.225
32,32,530,5877,9.0,mult=24.225
33,33,513,6390,9.0,mult=26.405
34,34,498,6888,9.0,mult=28.781
35,35,484,7372,9.0,mult=31.372
36,36,470,7842,9.0,mult=34.195
37,37,457,8299,9.0,mult=37.273
38,38,445,8744,9.0,mult=40.627
39,39,433,9178,9.0,mult=44.284
40,40,0,9600,9.0,mult=48.269
